Gene	correlation	p_value	mean_CN	mean_exp	delta_CN	delta_exp
AGRN	0.214372671596504	0.109310696453893	2.35087719298246	4.48347305456299	3	5.44159773357002
RNF223	0.373023284777923	0.0042658076967997	2.35087719298246	4.41754419498929	3	4.80544205363925
C1orf159	-0.146069948501281	0.278276268496864	2.35087719298246	6.2335841956984	3	8.25010587483771
TTLL10	-0.0154352265061093	0.909270778658507	2.35087719298246	3.6072717393594	3	6.46385725359061
TNFRSF18	-0.135747816666913	0.314012629462799	2.35087719298246	3.68312374504157	3	3.85658857288698
SDF4	0.171694261403957	0.201583673332312	2.35087719298246	6.24955746678141	3	8.11731460050101
B3GALT6	0.0877032953828026	0.516514433551306	2.35087719298246	4.72337693347522	3	6.58190582221492
UBE2J2	0.182466275255536	0.174303110852767	2.35087719298246	5.53754399662712	3	5.23082233774022
SCNN1D	0.249531301312318	0.0612185788674905	2.35087719298246	3.27601560906931	3	3.39109314469959
ACAP3	0.0486775171752672	0.719162362061233	2.35087719298246	4.98569910900914	3	6.42917897804526
PUSL1	0.138816550463961	0.303094781384165	2.35087719298246	3.62675211450183	3	3.29853551696632
TAS1R3	-0.0967734886830912	0.473916911307096	2.35087719298246	3.11585779739595	3	3.25156129680944
DVL1	0.170424725934969	0.204987791730945	2.35087719298246	4.81379235926502	3	5.47724099542378
MXRA8	0.156388847802633	0.245350618896311	2.35087719298246	3.83117494933396	3	3.59656333298693
AURKAIP1	0.397131722863571	0.0022228844632258	2.35087719298246	6.24918536130155	3	8.22030751888346
CCNL2	0.34459877634063	0.008665937809106	2.35087719298246	7.37210321415664	3	6.91207293400432
MRPL20	0.123299363420081	0.360843201269739	2.35087719298246	6.6681251554687	3	5.59081933402271
ANKRD65	0.11462412266886	0.395867908294587	2.35087719298246	3.1689236193948	3	2.6541348982778
VWA1	0.17693800427034	0.187948081112647	2.35087719298246	4.5006535654213	3	4.55463316750082
ATAD3C	-0.222422789337675	0.0963213957973027	2.35087719298246	3.61874101891002	3	4.3959730593572
ATAD3B	0.333897133893579	0.0111384218110085	2.35087719298246	4.79211831864122	3	4.87583746152373
ATAD3A	0.208665257657093	0.119307269734169	2.35087719298246	4.52279670907141	3	5.21105644509368
TMEM240	-0.0598512748128119	0.658306054695144	2.35087719298246	2.99826011709457	3	0.252508640685698
SSU72	0.104229471225894	0.440359362788706	2.35087719298246	6.78289409700822	3	6.28109711636931
MIB2	0.186503218030865	0.16480375188279	2.35087719298246	3.87146459937145	3	2.97693184025935
MMP23B	0.0564150351083206	0.676809902610094	2.35087719298246	3.00289041525962	3	0.302726238052526
CDK11B	0.199222675934595	0.137354855181716	2.35087719298246	5.01863995693151	3	4.3182367196455
SLC35E2B	0.230887438910501	0.0839926229348813	2.35087719298246	4.2343324025165	3	3.03502086917197
CDK11A	0.109130698778479	0.419042949761643	2.35087719298246	6.09666631998315	3	6.41405245862998
NADK	-0.0447496531262013	0.740997163170999	2.35087719298246	4.97624803681486	3	5.20864020833304
GNB1	0.132305552671113	0.326554927375588	2.35087719298246	8.23906188961426	3	5.94027671475274
CALML6	0.0105736566633634	0.937778008777331	2.35087719298246	3.0074916642259	3	0.356648279175968
TMEM52	0.203541342041779	0.128861988968367	2.35087719298246	3.07229905424252	3	2.60334060735582
GABRD	0.0830886090163633	0.538903792908059	2.35087719298246	3.08559317913197	3	1.44935609815383
PRKCZ	0.0344469269216993	0.799200189960429	2.35087719298246	5.01984173754598	3	4.8721519280804
SKI	0.169517884120999	0.207444139221548	2.35087719298246	6.03056685745995	3	7.96131266115334
MORN1	-0.0351212068312516	0.795353794206688	2.35087719298246	4.47155616921776	3	4.28640351822661
RER1	0.219661303752669	0.100634455949078	2.35087719298246	5.84848702182843	3	6.99147495999638
PEX10	0.156688925049576	0.244434712455593	2.35087719298246	3.08078498162834	3	1.96151157450505
PLCH2	0.235362034617982	0.0779970382368584	2.35087719298246	3.49587161516952	3	2.66980634097625
PANK4	-0.00250904762982731	0.985221437085439	2.35087719298246	3.82243370182651	3	7.28680222397234
TNFRSF14	0.13570950502318	0.314150503566144	2.35087719298246	4.32158271796268	3	6.74409314290779
MMEL1	0.0763325896793525	0.572512433411514	2.35087719298246	3.12576258001309	3	1.10213256791668
TTC34	-0.156969240933584	0.243581233495056	2.35087719298246	3.24269556733964	3	2.75718299530768
PRDM16	0.19386633436177	0.148463186219071	2.35087719298246	3.60645854473056	3	2.17365414869935
ARHGEF16	0.328674456433956	0.012551805033497	2.35087719298246	3.9539223313934	3	4.418634182941
MEGF6	-0.111274680038186	0.409907269097789	2.35087719298246	3.68289293306405	3	4.51820053111745
TPRG1L	-0.164298429950408	0.221985941091816	2.35087719298246	4.84007897728301	3	6.73854536308855
